105	1	24	101139	經費類	101053
105	1	1	506467	經費類	506455
105	1	2	506468	經費類	506456
105	1	3	506469	經費類	506457
105	1	4	506470	經費類	506458
105	1	5	506471	經費類	506459
105	1	6	506472	經費類	506460
105	1	7	506473	經費類	506461
105	1	8	506474	經費類	506462
105	1	9	506475	經費類	506463
105	1	10	506476	經費類	506464
105	1	12	506477	經費類	506465
105	1	13	506478	經費類	506466
105	1	22	506479	經費類	506467
105	1	23	506480	經費類	506468
105	1	11	506481	經費類	506469
105	1	14	600660	經費類	600660
105	1	15	600661	經費類	600661
105	1	17	600662	經費類	600662
105	1	18	600663	經費類	600663
105	1	19	600664	經費類	600664
105	1	20	600665	經費類	600665
105	1	21	600666	經費類	600666
