106	1	1	500619	經費類	500617
106	1	2	500620	經費類	500618
106	1	3	500621	經費類	500619
106	1	5	500622	經費類	500620
106	1	6	500623	經費類	500621
106	1	7	500624	經費類	500622
106	1	8	500625	經費類	500623
106	1	9	500626	經費類	500624
106	1	10	500627	經費類	500625
106	1	11	500628	經費類	500626
106	1	12	500629	經費類	500627
106	1	13	500630	經費類	500628
106	1	14	500631	經費類	500629
106	1	15	500632	經費類	500630
106	1	16	500633	經費類	500631
106	1	17	500634	經費類	500632
106	1	18	500635	經費類	500633
106	1	19	500636	經費類	500634
106	1	20	500637	經費類	500635
106	1	21	500638	經費類	500636
106	1	4	600040	經費類	600040
