105	1	1	506543	經費類	506531
105	1	2	506544	經費類	506532
105	1	3	506545	經費類	506533
105	1	4	506546	經費類	506534
105	1	5	506547	經費類	506535
105	1	6	506548	經費類	506536
105	1	7	506549	經費類	506537
105	1	8	506550	經費類	506538
105	1	9	506551	經費類	506539
105	1	10	506552	經費類	506540
105	1	11	506553	經費類	506541
105	1	12	506554	經費類	506542
105	1	13	506555	經費類	506543
105	1	14	506556	經費類	506544
105	1	15	506557	經費類	506545
105	1	16	506558	經費類	506546
105	1	17	506559	經費類	506547
105	1	18	506560	經費類	506548
105	1	19	506561	經費類	506549
105	1	20	506562	經費類	506550
105	1	21	506563	經費類	506551
105	1	22	506564	經費類	506552
105	1	23	506565	經費類	506553
105	1	24	506566	經費類	506554
105	1	25	506567	經費類	506555
105	1	26	506568	經費類	506556
105	1	27	506569	經費類	506557
105	1	28	506570	經費類	506558
