105	1	20	101140	經費類	101054
105	1	21	101141	經費類	101055
105	1	1	506500	經費類	506488
105	1	2	506501	經費類	506489
105	1	3	506502	經費類	506490
105	1	4	506503	經費類	506491
105	1	5	506504	經費類	506492
105	1	6	506505	經費類	506493
105	1	7	506506	經費類	506494
105	1	8	506507	經費類	506495
105	1	9	506508	經費類	506496
105	1	10	506509	經費類	506497
105	1	11	506510	經費類	506498
105	1	12	506511	經費類	506499
105	1	13	506512	經費類	506500
105	1	14	506513	經費類	506501
105	1	15	506514	經費類	506502
105	1	16	600667	經費類	600667
105	1	19	600668	經費類	600668
